2026-03-15 03:54:09 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:10 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 10/100 — train_loss=1.2487 val_loss=1.5919 recon=1.0247 kl=0.2988 kl_weight=0.7800
2026-03-15 03:54:10 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:11 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 11/100 — train_loss=1.2252 val_loss=1.5058 recon=0.9984 kl=0.2733 kl_weight=0.8600
2026-03-15 03:54:11 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:12 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 12/100 — train_loss=1.1787 val_loss=1.4766 recon=0.9570 kl=0.2439 kl_weight=0.9400
2026-03-15 03:54:12 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:13 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 13/100 — train_loss=1.1734 val_loss=1.4606 recon=0.9640 kl=0.2128 kl_weight=1.0000
2026-03-15 03:54:13 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:14 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 14/100 — train_loss=1.1631 val_loss=1.5043 recon=0.9631 kl=0.2001 kl_weight=1.0000
2026-03-15 03:54:15 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 15/100 — train_loss=1.1168 val_loss=1.4265 recon=0.9222 kl=0.1947 kl_weight=1.0000
2026-03-15 03:54:15 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:16 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 16/100 — train_loss=1.0939 val_loss=1.4309 recon=0.9080 kl=0.1859 kl_weight=1.0000
2026-03-15 03:54:17 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 17/100 — train_loss=1.0570 val_loss=1.4320 recon=0.8691 kl=0.1879 kl_weight=1.0000
2026-03-15 03:54:18 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 18/100 — train_loss=1.0495 val_loss=1.4582 recon=0.8505 kl=0.1990 kl_weight=1.0000
2026-03-15 03:54:18 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 19/100 — train_loss=1.0338 val_loss=1.3863 recon=0.8333 kl=0.2005 kl_weight=1.0000
2026-03-15 03:54:19 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:20 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 20/100 — train_loss=1.0410 val_loss=1.3397 recon=0.8652 kl=0.1758 kl_weight=1.0000
2026-03-15 03:54:20 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:21 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 21/100 — train_loss=1.0200 val_loss=1.3456 recon=0.8491 kl=0.1709 kl_weight=1.0000
2026-03-15 03:54:21 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 22/100 — train_loss=0.9902 val_loss=1.3605 recon=0.7948 kl=0.1954 kl_weight=1.0000
2026-03-15 03:54:22 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 23/100 — train_loss=0.9761 val_loss=1.3440 recon=0.7883 kl=0.1879 kl_weight=1.0000
2026-03-15 03:54:23 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 24/100 — train_loss=0.9706 val_loss=1.3790 recon=0.7710 kl=0.1996 kl_weight=1.0000
2026-03-15 03:54:24 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 25/100 — train_loss=0.9859 val_loss=1.3606 recon=0.7971 kl=0.1888 kl_weight=1.0000
2026-03-15 03:54:24 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 26/100 — train_loss=0.8107 val_loss=1.3644 recon=0.8053 kl=0.1729 kl_weight=0.0600
2026-03-15 03:54:25 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 27/100 — train_loss=0.7577 val_loss=1.3509 recon=0.7297 kl=0.2480 kl_weight=0.1400
2026-03-15 03:54:26 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 28/100 — train_loss=0.7494 val_loss=1.3615 recon=0.6815 kl=0.3532 kl_weight=0.2200
2026-03-15 03:54:27 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 29/100 — train_loss=0.7466 val_loss=1.4192 recon=0.6258 kl=0.4462 kl_weight=0.3000
2026-03-15 03:54:27 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 30/100 — train_loss=0.7978 val_loss=1.4187 recon=0.6378 kl=0.4587 kl_weight=0.3800
2026-03-15 03:54:28 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 31/100 — train_loss=0.7836 val_loss=1.3859 recon=0.6086 kl=0.4074 kl_weight=0.4600
2026-03-15 03:54:29 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 32/100 — train_loss=0.8085 val_loss=1.4183 recon=0.6259 kl=0.3576 kl_weight=0.5400
2026-03-15 03:54:30 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 33/100 — train_loss=0.8028 val_loss=1.3829 recon=0.6309 kl=0.2920 kl_weight=0.6200
2026-03-15 03:54:31 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 34/100 — train_loss=0.8168 val_loss=1.3748 recon=0.6435 kl=0.2590 kl_weight=0.7000
2026-03-15 03:54:31 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 35/100 — train_loss=0.8487 val_loss=1.4062 recon=0.6616 kl=0.2493 kl_weight=0.7800
2026-03-15 03:54:32 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 36/100 — train_loss=0.8525 val_loss=1.3648 recon=0.6442 kl=0.2515 kl_weight=0.8600
2026-03-15 03:54:33 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 37/100 — train_loss=0.8306 val_loss=1.3405 recon=0.6207 kl=0.2309 kl_weight=0.9400
2026-03-15 03:54:34 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 38/100 — train_loss=0.8792 val_loss=1.3604 recon=0.6648 kl=0.2179 kl_weight=1.0000
2026-03-15 03:54:34 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 39/100 — train_loss=0.8723 val_loss=1.3454 recon=0.6705 kl=0.2018 kl_weight=1.0000
2026-03-15 03:54:35 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 40/100 — train_loss=0.8609 val_loss=1.3486 recon=0.6603 kl=0.2007 kl_weight=1.0000
2026-03-15 03:54:35 | INFO    | myelomemory.models.vae | Early stopping at epoch 40
2026-03-15 03:54:35 | INFO    | myelomemory | <<< STAGE END: vae_pretrain (0.6 min) | best_val_loss=1.3397 final_epoch=40 total_steps=160
2026-03-15 03:54:35 | INFO    | myelomemory | === Pipeline stage: vae_finetune ===
2026-03-15 03:54:35 | INFO    | myelomemory | >>> STAGE START: vae_finetune
2026-03-15 03:54:36 | INFO    | myelomemory | Checkpoint loaded: checkpoints/data_ready.pt (saved 2026-03-15T08:53:06.017679+00:00)
2026-03-15 03:54:36 | INFO    | myelomemory | Checkpoint loaded: checkpoints/vae_pretrained.pt (saved 2026-03-15T08:54:20.014414+00:00)
2026-03-15 03:55:20 | WARNING | myelomemory | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-03-15 03:55:20 | INFO    | myelomemory | === Pipeline stage: data_validate ===
2026-03-15 03:55:20 | INFO    | myelomemory | >>> STAGE START: data_validate
2026-03-15 03:55:20 | INFO    | myelomemory | <<< STAGE END: data_validate (0.0 min)
2026-03-15 03:55:20 | INFO    | myelomemory | === Pipeline stage: data_prep ===
2026-03-15 03:55:21 | INFO    | myelomemory | === Pipeline stage: vae_pretrain ===
2026-03-15 03:55:21 | INFO    | myelomemory | === Pipeline stage: vae_finetune ===
2026-03-15 03:55:21 | INFO    | myelomemory | >>> STAGE START: vae_finetune
2026-03-15 03:55:21 | INFO    | myelomemory | Checkpoint loaded: checkpoints/data_ready.pt (saved 2026-03-15T08:53:06.017679+00:00)
2026-03-15 03:55:21 | INFO    | myelomemory | Checkpoint loaded: checkpoints/vae_pretrained.pt (saved 2026-03-15T08:54:20.014414+00:00)
2026-03-15 03:55:34 | WARNING | myelomemory | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-03-15 03:55:34 | INFO    | myelomemory | === Pipeline stage: data_validate ===
2026-03-15 03:55:34 | INFO    | myelomemory | >>> STAGE START: data_validate
2026-03-15 03:55:34 | INFO    | myelomemory | <<< STAGE END: data_validate (0.0 min)
2026-03-15 03:55:34 | INFO    | myelomemory | === Pipeline stage: data_prep ===
2026-03-15 03:55:35 | INFO    | myelomemory | >>> STAGE START: data_prep
2026-03-15 03:55:35 | INFO    | myelomemory.data.loaders | Loading CCLE proteomics from data/raw/ccle_proteomics.csv
2026-03-15 03:55:36 | INFO    | myelomemory.data.loaders | Loaded proteomics: 375 cell lines, 12558 proteins
2026-03-15 03:55:37 | INFO    | myelomemory.data.loaders | After coverage filter (70%): 8001 proteins retained
2026-03-15 03:55:37 | INFO    | myelomemory.data.loaders | Mapped 8001/8001 UniProt IDs to gene symbols
2026-03-15 03:55:37 | INFO    | myelomemory.data.loaders | Loading CCLE epigenomics from data/raw/ccle_epigenomics
2026-03-15 03:55:37 | INFO    | myelomemory.data.loaders |   chromatin_profiling: indexed by BroadID (ACH format)
2026-03-15 03:55:37 | INFO    | myelomemory.data.loaders |   chromatin_profiling: 897 lines, 42 features
2026-03-15 03:55:37 | INFO    | myelomemory.data.loaders | Loading STRING PPI network from data/raw/string_ppi.txt
2026-03-15 03:55:40 | INFO    | myelomemory.data.loaders |   STRING scores on 0-1000 scale — normalizing to 0-1
2026-03-15 03:55:40 | INFO    | myelomemory.data.loaders | PPI edges after confidence filter (>=0.7): 467610
2026-03-15 03:55:41 | INFO    | myelomemory.data.preprocessors | Harmonizing multi-omics data
2026-03-15 03:55:41 | INFO    | myelomemory.data.preprocessors |   ID mapping: 2013 CCLEName → ModelID entries
2026-03-15 03:55:41 | INFO    | myelomemory.data.preprocessors | Cell lines in common across modalities: 367
2026-03-15 03:55:47 | INFO    | myelomemory.data.loaders | Loading drug sensitivity data
2026-03-15 03:55:48 | INFO    | myelomemory.data.loaders |   GDSC: 387626 records, columns: ['DATASET', 'COSMIC_ID', 'DRUG_ID', 'MIN_CONC', 'MAX_CONC', 'RMSE_PUBLISHED', 'Z_SCORE_PUBLISHED', 'IC50_PUBLISHED']
2026-03-15 03:55:48 | INFO    | myelomemory.data.loaders |   GDSC: mapped columns → ['cell_line_id', 'drug_name', 'ic50']
2026-03-15 03:55:54 | INFO    | myelomemory.data.loaders |   CTRPv2: 6239426 records, columns: ['experiment_id\tqc_type\tnum_conc_pts\tcpd_delta_sum\tqc_delta_penum\tqc_delta_last\tcpd_avg_pv\tcpd_conc_umol\tmaster_cpd_id']
2026-03-15 03:55:54 | INFO    | myelomemory.data.loaders |   CTRPv2: mapped columns → []
2026-03-15 03:55:57 | INFO    | myelomemory.data.loaders | Drug sensitivity matrix: 962 cell lines × 2 drugs
2026-03-15 03:55:57 | INFO    | myelomemory.data.preprocessors |   Lineage labels: 367/367 matched
2026-03-15 03:55:57 | INFO    | myelomemory.data.preprocessors | PPI-proteomics overlap: 7308 proteins matched
2026-03-15 03:55:57 | INFO    | myelomemory.data.preprocessors | MultiOmicsDataset: 367 samples, 7853 proteins, 42 epigenomic features, 467610 PPI edges
2026-03-15 03:55:57 | INFO    | myelomemory.data.preprocessors | Splits: train=257, val=55, test=55
2026-03-15 03:55:57 | INFO    | myelomemory | Checkpoint saved: checkpoints/data_ready.pt
2026-03-15 03:55:57 | INFO    | myelomemory | <<< STAGE END: data_prep (0.4 min)
2026-03-15 03:55:57 | INFO    | myelomemory | === Pipeline stage: vae_pretrain ===
2026-03-15 03:55:57 | INFO    | myelomemory | >>> STAGE START: vae_pretrain
2026-03-15 03:55:58 | INFO    | myelomemory | Checkpoint loaded: checkpoints/data_ready.pt (saved 2026-03-15T08:55:57.312160+00:00)
2026-03-15 03:56:00 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 1/100 — train_loss=2.0223 val_loss=4219.5806 recon=1.9900 kl=0.9447 kl_weight=0.0600
2026-03-15 03:56:00 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:56:01 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 2/100 — train_loss=2.0848 val_loss=60259.4648 recon=1.8804 kl=2.1109 kl_weight=0.1400
2026-03-15 03:56:01 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 3/100 — train_loss=1.9947 val_loss=36.7784 recon=1.7541 kl=1.2916 kl_weight=0.2200
2026-03-15 03:56:02 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:56:03 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 4/100 — train_loss=1.8503 val_loss=3.7508 recon=1.6142 kl=0.8777 kl_weight=0.3000
2026-03-15 03:56:03 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:56:04 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 5/100 — train_loss=1.7094 val_loss=2.8281 recon=1.4660 kl=0.6984 kl_weight=0.3800
2026-03-15 03:56:04 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:56:05 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 6/100 — train_loss=1.6022 val_loss=2.1231 recon=1.3654 kl=0.5530 kl_weight=0.4600
2026-03-15 03:56:05 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:56:06 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 7/100 — train_loss=1.4842 val_loss=1.8314 recon=1.2594 kl=0.4420 kl_weight=0.5400
